cell_id,session_date,direction,entry_minute,entry_price,shares,gross,holding_minutes,exit_minute,exit_price,exit_reason
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-11,short,241,47.25,2807,505.5407000000092,150.0,390,47.0699,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-15,short,61,47.07,2911,1339.0600000000031,330.0,390,46.61,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-16,short,61,45.91,2953,-383.89000000000794,60.0,121,46.04,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-17,long,31,46.52,2997,-1498.5000000000002,30.0,61,46.02,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-17,short,151,45.82,2997,29.969999999994037,60.0,211,45.81,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-17,short,301,45.66,2997,59.93999999998812,30.0,331,45.64,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-17,short,361,45.5,2997,449.5499999999959,30.0,390,45.35,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-18,long,61,45.99,3006,-480.9600000000112,30.0,91,45.83,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-18,short,151,45.09,3006,-1653.2999999999918,30.0,181,45.64,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-23,short,211,41.95,3065,-551.6999999999991,30.0,241,42.13,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-24,long,31,44.747,2928,-1250.255999999999,30.0,61,44.32,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-24,long,121,44.53,2928,-497.760000000005,60.0,181,44.36,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-25,short,211,44.52,2560,537.6000000000022,150.0,361,44.31,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-30,long,301,45.07,3076,-276.84000000001106,60.0,361,44.98,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-31,long,151,44.87,3368,-707.2800000000029,30.0,181,44.66,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-01-31,long,271,44.89,3368,808.3200000000071,120.0,390,45.13,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-04,short,181,45.09,3117,-249.35999999999464,30.0,211,45.17,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-04,short,241,45.03,3117,-374.0399999999919,30.0,271,45.15,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-07,long,241,43.35,3402,68.03999999998666,60.0,301,43.37,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-08,long,91,43.63,3349,-184.19499999999906,30.0,121,43.575,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-14,short,91,44.49,3244,1725.8080000000102,300.0,390,43.958,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-15,short,31,43.64,3366,-504.8999999999953,30.0,61,43.79,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-20,long,181,43.8,3393,-441.08999999998457,30.0,211,43.67,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-20,long,331,44.02,3393,-407.16000000001543,30.0,361,43.9,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-22,short,91,43.15,3370,-168.50000000001447,30.0,121,43.2,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-22,short,151,43.1301,3370,371.0369999999855,180.0,331,43.02,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-22,short,361,42.85,3370,-2291.5999999999985,30.0,390,43.53,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-25,long,61,43.9199,3390,-169.16100000000318,30.0,91,43.87,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-26,long,181,44.26,3379,-67.57999999998658,30.0,211,44.24,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-27,long,151,44.3901,3967,-516.106699999995,30.0,181,44.26,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-29,short,61,43.29,4411,-308.7700000000013,120.0,181,43.36,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-02-29,short,271,43.15,4411,802.8019999999782,120.0,390,42.968,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-03,short,31,42.73,3805,-799.0500000000031,30.0,61,42.94,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-03,short,91,42.66,3805,-722.9500000000185,60.0,151,42.85,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-03,short,331,42.27,3805,-722.9499999999913,30.0,361,42.46,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-05,long,61,43.25,3823,38.22999999999239,60.0,121,43.26,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-06,short,181,42.76,4449,2758.3799999999887,210.0,390,42.14,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-07,long,31,42.4,4510,-947.100000000004,90.0,121,42.19,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-07,short,301,41.48,4510,-1127.5,30.0,331,41.73,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-10,short,121,41.67,4404,-180.5639999999859,90.0,211,41.711,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-10,short,241,41.52,4404,1233.1200000000044,150.0,390,41.24,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-12,long,121,43.3285,3111,-524.2035000000052,30.0,151,43.16,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-13,short,91,41.96,3201,-1187.571000000007,30.0,121,42.331,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-13,long,241,42.97,3201,224.07000000000093,150.0,390,43.04,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-14,short,31,42.34,3044,-547.9199999999989,330.0,361,42.52,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-18,long,211,42.63,2992,-688.1600000000119,90.0,301,42.4,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-18,long,331,42.91,2992,1142.9440000000152,60.0,390,43.292,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-19,short,361,42.66,2368,852.4799999999987,30.0,390,42.3,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-20,long,361,42.93,2363,354.44999999999663,30.0,390,43.08,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-24,long,31,43.62,2377,2234.3800000000115,360.0,390,44.56,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-27,short,91,44.1,2170,-65.10000000000244,30.0,121,44.13,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-03-31,long,31,43.93,2209,-905.6899999999923,30.0,61,43.52,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-01,long,91,44.86,2232,1607.0399999999977,300.0,390,45.58,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-04,long,241,46.308,2158,-276.2240000000003,30.0,271,46.18,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-09,short,31,45.09,2634,579.4800000000159,360.0,390,44.87,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-10,long,61,45.4001,2843,511.45569999998844,330.0,390,45.58,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-11,short,181,44.6594,2876,-116.76560000001396,30.0,211,44.7,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-11,short,241,44.59,2876,862.8000000000125,150.0,390,44.29,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-14,short,31,44.05,3002,-359.93980000000374,30.0,61,44.1699,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-15,short,121,43.75,3002,-361.7409999999995,60.0,181,43.8705,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-16,long,61,45.02,2962,1036.6999999999834,330.0,390,45.37,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-17,short,151,45.03,2807,-106.66599999999073,30.0,181,45.068,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-18,long,181,46.87,2781,-194.6700000000008,30.0,211,46.8,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-18,long,241,46.92,2781,-472.7700000000047,60.0,301,46.75,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-22,short,61,46.53,3012,-216.86399999998682,30.0,91,46.602,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-22,short,151,46.33,3012,90.3600000000038,240.0,390,46.3,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-23,long,91,46.999,2882,-141.21799999999854,30.0,121,46.95,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-24,short,31,46.61,2827,-593.6700000000023,90.0,121,46.82,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-24,long,181,47.32,2827,28.269999999994326,210.0,390,47.33,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-25,short,31,46.93,2761,-82.83000000000305,270.0,301,46.96,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-04-30,short,361,47.16,2878,-25.902000000000996,30.0,390,47.169,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-01,long,31,47.63,2905,3108.3500000000013,360.0,390,48.7,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-06,short,31,48.27,3104,-124.15999999999735,30.0,61,48.31,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-07,short,271,48.35,3390,1220.3999999999978,120.0,390,47.99,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-08,long,121,48.52,3123,-218.61000000000092,30.0,151,48.45,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-12,long,151,48.78,3615,1117.034999999991,240.0,390,49.089,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-14,long,31,49.66,3721,111.6300000000041,90.0,121,49.69,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-14,long,271,49.88,3721,-706.9900000000181,60.0,331,49.69,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-15,long,181,49.63,3754,-187.7000000000158,120.0,301,49.58,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-15,long,331,49.7401,3754,787.9646000000175,60.0,390,49.95,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-16,short,61,49.69,3598,-35.98000000001845,90.0,151,49.7,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-19,long,61,50.25,3589,-251.58889999998743,30.0,91,50.1799,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-20,short,31,49.2099,3541,35.05589999998139,60.0,91,49.2,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-20,short,121,49.07,3541,-459.9758999999973,60.0,181,49.1999,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-20,short,271,49.0,3541,-141.6399999999971,60.0,331,49.04,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-21,short,301,48.3299,3529,564.6400000000132,90.0,390,48.1699,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-23,short,211,47.85,4088,-408.8000000000057,30.0,241,47.95,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-27,long,31,48.548,4052,-72.93600000000313,90.0,121,48.53,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-27,long,271,48.7,4052,0.0,30.0,301,48.7,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-27,long,331,48.9899,4052,324.5652000000065,60.0,390,49.07,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-29,long,31,49.52,4152,-41.52000000002124,90.0,121,49.51,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-29,long,151,49.69,4152,124.56000000000518,240.0,390,49.72,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-05-30,long,61,50.09,4074,-484.806000000028,30.0,91,49.971,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-02,short,31,49.69,4090,1267.8999999999812,360.0,390,49.38,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-03,short,271,48.95,4268,-896.2799999999734,90.0,361,49.16,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-04,long,61,49.55,4281,-42.809999999990595,270.0,331,49.54,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-05,long,31,50.1,4090,327.1999999999942,270.0,301,50.18,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-05,long,331,50.35,4090,777.099999999991,60.0,390,50.54,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-06,short,61,49.86,4048,40.479999999991946,30.0,91,49.85,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-06,short,121,49.6,4048,2145.440000000005,270.0,390,49.07,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-09,short,31,48.64,3417,-205.02000000000785,180.0,211,48.7,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-09,short,241,48.3501,3417,-1230.1199999999983,150.0,390,48.7101,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-11,short,31,48.2,3455,518.2500000000194,60.0,91,48.05,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-11,short,121,47.79,3455,1416.5499999999884,270.0,390,47.38,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-12,long,31,48.01,3474,-1076.9399999999832,30.0,61,47.7,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-13,long,61,48.36,3453,-794.1899999999891,150.0,211,48.13,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-16,long,271,48.93,3155,-536.3500000000054,30.0,301,48.76,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-16,long,331,48.92,3155,-252.39999999999458,30.0,361,48.84,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-19,long,181,48.54,3307,-330.70000000000465,30.0,211,48.44,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-19,long,241,48.56,3307,-294.3230000000189,30.0,271,48.471,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-19,long,301,48.65,3307,396.84000000001527,90.0,390,48.77,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-20,short,31,47.95,3129,1661.4990000000194,360.0,390,47.419,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-25,long,31,47.191,3064,88.85599999998885,30.0,61,47.22,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-25,long,91,47.5919,3064,-396.17520000000195,180.0,271,47.4626,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-25,long,301,47.66,3064,-459.5999999999955,90.0,390,47.51,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-26,short,91,46.13,3108,1367.5200000000148,300.0,390,45.69,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-06-27,short,271,45.15,2976,-1130.8800000000076,30.0,301,45.53,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-01,long,331,45.72,2999,-239.9199999999949,30.0,361,45.64,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-02,short,151,45.29,2976,-386.8800000000076,90.0,241,45.42,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-02,short,301,45.26,2976,1636.7999999999915,90.0,390,44.71,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-07,long,31,45.39,3165,-316.50000000000443,60.0,91,45.29,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-08,long,31,45.24,3211,-256.8800000000173,30.0,61,45.16,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-08,long,121,45.26,3211,-321.1000000000046,30.0,151,45.16,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-08,long,181,45.41,3211,-385.319999999992,60.0,241,45.29,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-08,long,331,45.69,3211,899.0800000000038,60.0,390,45.97,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-09,short,31,45.69,2807,-645.610000000011,30.0,61,45.92,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-09,short,331,45.36,2807,1684.2000000000041,60.0,390,44.76,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-11,short,61,44.44,2826,-706.5000000000001,30.0,91,44.69,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-11,short,121,44.36,2826,-1299.960000000002,210.0,331,44.82,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-14,short,151,44.21,2902,-145.09999999999187,30.0,181,44.26,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-15,short,31,43.72,2975,59.499999999987935,60.0,91,43.7,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-16,long,91,44.64,2949,58.979999999988166,30.0,121,44.66,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-16,long,151,44.72,2949,1887.3600000000022,240.0,390,45.36,end_of_session
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-18,short,31,44.83,3325,-731.1675000000088,90.0,121,45.0499,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-21,short,151,44.53,3208,-352.8799999999982,30.0,181,44.64,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-23,long,61,45.52,3337,-1200.986300000011,90.0,151,45.1601,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-25,long,91,45.31,3429,-411.48000000001565,30.0,121,45.19,scheduled_fill
corrected_execution__halt_aware__with_dividends__slip_0p0025,2008-07-28,short,211,44.62,3290,924.4899999999966,180.0,390,44.339,end_of_session
